관광지,url,촬영장소,검색 키워드
강구안,http://tong.visitkorea.or.kr/cms2/website/97/1911397.jpg,경상남도 통영시,"강구안,바다,통영 어촌,경상남도 통영시,통영,통영시"
강구항,http://tong.visitkorea.or.kr/cms2/website/35/2643935.jpg,경상북도 영덕군 강구면,"강구항,경상북도 영덕군,항구,영덕 대게거리,영덕 대게마을,영덕 블루로드,드론촬영,드론사진,항공촬영"
강남야경,http://tong.visitkorea.or.kr/cms2/website/33/2029133.jpg,서울특별시 강남구,"2015 제43회 대한민국 관광사진 공모전,입선,곡선의 미,동대문디자인플라자,DDP,건물,야경,전경"
강남역거리,http://tong.visitkorea.or.kr/cms2/website/63/2535363.jpg,서울특별시 강남구,"강남역거리,서울특별시 강남구,2017년 하반기 기획사진,서울전경,도시"
강릉 녹색 도시 체험센터,http://tong.visitkorea.or.kr/cms2/website/03/2435003.jpg,강원도 강릉시 난설헌로,"강릉녹색도시체험센터,강릉 녹색도시체험센터,강릉녹색도시 체험센터,강릉 녹색도시 체험센터,강원도 강릉시,강원도강릉시"
강릉 명주동 거리,http://tong.visitkorea.or.kr/cms2/website/05/2791905.jpeg,강원도 강릉시 명주동,"강릉 명주동 거리,강원도 강릉시,시나미명주,이색거리"
강릉 벚꽃,http://tong.visitkorea.or.kr/cms2/website/55/2721255.jpg,강원도 강릉시 노암동,"강릉 벚꽃,강원도 강릉시,강릉 남산공원,근린공원,벚나무,봄"
강릉 사천 하평 답교놀이,http://tong.visitkorea.or.kr/cms2/website/37/2563737.jpg,강원도 강릉시,"2018 제46회 대한민국 관광사진 공모전,대상,강릉 사천 하평 답교놀이,강원도 강릉시,다리밟기,다리빼앗기,민속놀이,경포해변,동해바다"
강릉 선교장,http://tong.visitkorea.or.kr/cms2/website/26/2662826.jpg,강원도 강릉시 운정동,"강릉 선교장,강원도 강릉시,국가민속문화재 제5호,전통가옥,한옥,고택,활래정,정자,연잎,드론촬영,드론사진,항공촬영"
강릉 솔향수목원,http://tong.visitkorea.or.kr/cms2/website/96/2435096.jpg,강원도 강릉시 구정면,"강릉솔향수목원,강릉 솔향수목원,강릉솔향 수목원,강릉 솔향 수목원,강원도 강릉시,강원도강릉시,나무,소나무,피톤치드,산,숲,자연,숲길산책로"
강릉 송정해수욕장,http://tong.visitkorea.or.kr/cms2/website/57/1691557.jpg,강원도 강릉,"강릉 송정해수욕장,솔숲,소나무,송정해변"
강릉 올림픽파크,http://tong.visitkorea.or.kr/cms2/website/83/2792083.jpeg,강원도 강릉시 교동,"강을 올림픽파크,강원도 강릉시,컬링센터,스포츠센터"
강릉 월화거리,http://tong.visitkorea.or.kr/cms2/website/97/2825597.jpg,강원도 강릉시 임당동,"강릉 월화거리,강원도 강릉시,문화거리,이색거리,가로수길"
